dt,AverageTemperature,AverageTemperatureUncertainty,Country,Year,CountryYear,AverTempYear,Code
41275,6.137,0.643,Isle Of Man,2013,Isle Of Man2013,-0.127123787,833
41275,12.546,0.836,Israel,2013,Israel2013,0.02951271,376
41275,5.585,0.31,Italy,2013,Italy2013,-0.009226931,380
41275,25.882,0.674,Jamaica,2013,Jamaica2013,0.002198344,388
41275,0.563,0.238,Japan,2013,Japan2013,0.036599504,392
41275,7.299,0.714,Jersey,2013,Jersey2013,-0.117026276,832
41275,10.746,0.743,Jordan,2013,Jordan2013,0.048580399,400
41275,-10.744,0.368,Kazakhstan,2013,Kazakhstan2013,0.457615831,398
41275,25.712,0.973,Kenya,2013,Kenya2013,0.003094201,404
41275,26.784,0.66,Kiribati,2013,Kiribati2013,-0.007768491,296
41275,14.439,0.552,Kuwait,2013,Kuwait2013,0.029316673,414
41275,-10.673,0.941,Kyrgyzstan,2013,Kyrgyzstan2013,0.549383607,417
41275,20.005,0.387,Laos,2013,Laos2013,0.043290191,422
41275,-6.878,0.369,Latvia,2013,Latvia2013,0.166494086,428
41275,20.234,0.322,Lesotho,2013,Lesotho2013,-0.062050982,426
41275,26.423,0.73,Liberia,2013,Liberia2013,-0.002763365,430
41275,13.471,0.408,Libya,2013,Libya2013,0.040438187,434
41275,-3.402,0.245,Liechtenstein,2013,Liechtenstein2013,-0.019967073,438
41275,-6.237,0.529,Lithuania,2013,Lithuania2013,0.142550388,440
41275,1.171,0.267,Luxembourg,2013,Luxembourg2013,-0.07479343,442
41275,25.816,0.412,Madagascar,2013,Madagascar2013,-0.022802481,450
41275,23.469,0.823,Malawi,2013,Malawi2013,-0.043363618,454
41275,26.308,0.194,Malaysia,2013,Malaysia2013,0.014928462,458
41275,21.485,0.469,Mali,2013,Mali2013,0.017431785,466
41275,13.733,0.345,Malta,2013,Malta2013,-0.016157061,470
41275,25.56,0.323,Martinique,2013,Martinique2013,-0.005829948,474
41275,20.013,0.64,Mauritania,2013,Mauritania2013,0.019299341,478
41275,26.77,0.455,Mauritius,2013,Mauritius2013,-0.00834962,480
41275,28.11,0.411,Mayotte,2013,Mayotte2013,-0.000377644,175
41275,15.299,0.301,Mexico,2013,Mexico2013,0.041717294,484
41275,1.348,0.775,Monaco,2013,Monaco2013,-0.028816048,492
41275,-20.505,0.463,Mongolia,2013,Mongolia2013,59.49012524,496
41275,1.331,0.624,Montenegro,2013,Montenegro2013,0.141167734,499
41275,25.75,0.354,Montserrat,2013,Montserrat2013,-0.009045943,500
41275,10.789,0.424,Morocco,2013,Morocco2013,0.023825308,504
41275,26.377,0.538,Mozambique,2013,Mozambique2013,-0.038293429,508
41275,26.365,1.063,Namibia,2013,Namibia2013,-0.035160119,516
41275,4.628,0.751,Nepal,2013,Nepal2013,0.031091935,524
41275,2.186,0.221,Netherlands,2013,Netherlands2013,-0.078817427,528
41275,25.221,1.731,New Caledonia,2013,New Caledonia2013,0.005185551,540
41275,15.623,0.622,New Zealand,2013,New Zealand2013,0.014478168,554
41275,25.685,0.399,Nicaragua,2013,Nicaragua2013,-0.002253597,558
41275,20.228,0.44,Niger,2013,Niger2013,0.032828662,562
41275,25.958,0.662,Nigeria,2013,Nigeria2013,0.021031572,566
41275,26.925,0.669,Niue,2013,Niue2013,0.014031047,570
41275,26.043,0.494,Northern Mariana Islands,2013,Northern Mariana Islands2013,0.014433774,580
41275,-7.711,0.298,Norway,2013,Norway2013,0.35224026,578
41275,20.325,0.435,Oman,2013,Oman2013,-0.002639817,512
41275,9.797,0.547,Pakistan,2013,Pakistan2013,0.041470148,586
41275,27.613,0.637,Palau,2013,Palau2013,0.00690534,585
41275,26.902,0.546,Panama,2013,Panama2013,-0.001134623,591
41275,25.465,0.307,Papua New Guinea,2013,Papua New Guinea2013,9.14E-05,598
41275,28.334,0.306,Paraguay,2013,Paraguay2013,-0.059598305,600
41275,20.749,0.415,Peru,2013,Peru2013,-0.024863013,604
41275,25.58,0.284,Philippines,2013,Philippines2013,0.014877629,608
