Year,City,Country,Average_Temperature,Latitude,Longitude
1930,Abilene,United States,16.84675,32.949999999999996,-100.52999999999999
1930,Akron,United States,10.148583333333333,40.99,-80.95000000000002
1930,Albuquerque,United States,10.578083333333334,34.56,-107.02999999999999
1930,Alexandria,United States,12.64391666666667,39.38,-76.99
1930,Allentown,United States,10.222166666666665,40.99,-74.55999999999999
1930,Amarillo,United States,15.085416666666667,34.56,-101.19000000000001
1930,Anaheim,United States,16.095416666666665,32.949999999999996,-117.77
1930,Anchorage,United States,-2.488166666666667,61.88,-151.13000000000002
1930,Ann Arbor,United States,9.107000000000001,42.59000000000001,-82.90999999999998
1930,Antioch,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Arlington,United States,15.342791666666669,36.165,-86.84500000000001
1930,Arvada,United States,2.0223333333333335,39.38,-106.13
1930,Atlanta,United States,14.4685,34.56,-83.68000000000002
1930,Aurora,United States,9.433541666666668,40.185,-95.69499999999998
1930,Austin,United States,19.52891666666667,29.740000000000006,-97.85000000000001
1930,Bakersfield,United States,15.522416666666665,36.17000000000001,-119.33999999999999
1930,Baltimore,United States,12.64391666666667,39.38,-76.99
1930,Baton Rouge,United States,20.084333333333333,29.740000000000006,-90.46000000000002
1930,Beaumont,United States,19.769166666666667,29.740000000000006,-94.14999999999999
1930,Bellevue,United States,7.227750000000001,47.42000000000001,-121.97000000000001
1930,Berkeley,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Birmingham,United States,17.13525,32.949999999999996,-87.13
1930,Boston,United States,8.207166666666666,42.59000000000001,-72.0
1930,Bridgeport,United States,10.798749999999998,40.99,-72.43000000000002
1930,Brownsville,United States,22.190166666666666,26.52,-96.72000000000001
1930,Buffalo,United States,8.2405,42.59000000000001,-78.54999999999998
1930,Burbank,United States,15.987000000000002,34.56,-118.70000000000003
1930,Cambridge,United States,8.207166666666666,42.59000000000001,-72.0
1930,Cape Coral,United States,22.74383333333334,26.52,-82.39
1930,Carrollton,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Cary,United States,14.646749999999997,36.17000000000001,-79.55999999999999
1930,Cedar Rapids,United States,8.7595,42.59000000000001,-91.64
1930,Chandler,United States,20.765,32.949999999999996,-112.02
1930,Charleston,United States,18.656916666666667,32.949999999999996,-79.47000000000001
1930,Charlotte,United States,16.054,34.56,-81.73
1930,Chattanooga,United States,15.247333333333335,34.56,-85.62
1930,Chesapeake,United States,16.068,36.17000000000001,-75.58000000000001
1930,Chicago,United States,10.78675,42.59000000000001,-87.27
1930,Chula Vista,United States,16.095416666666665,32.949999999999996,-117.77
1930,Cincinnati,United States,11.834166666666668,39.38,-85.31999999999998
1930,Clarksville,United States,14.702416666666666,36.17000000000001,-87.51
1930,Clearwater,United States,21.52416666666667,28.13,-82.73
1930,Cleveland,United States,10.148583333333333,40.99,-80.95000000000002
1930,Colorado Springs,United States,8.368833333333333,39.38,-104.04999999999997
1930,Columbia,United States,16.054,34.56,-81.73
1930,Columbus,United States,14.354125000000002,36.165,-84.22500000000001
1930,Concord,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Coral Springs,United States,22.906750000000002,26.52,-80.60000000000001
1930,Corona,United States,16.095416666666665,32.949999999999996,-117.77
1930,Corpus Christi,United States,21.10325,28.13,-97.27
1930,Costa Mesa,United States,16.095416666666665,32.949999999999996,-117.77
1930,Dallas,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Dayton,United States,12.017249999999999,39.38,-83.24
1930,Denton,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Denver,United States,8.368833333333333,39.38,-104.04999999999997
1930,Des Moines,United States,10.762,40.99,-93.73
1930,Detroit,United States,9.107000000000001,42.59000000000001,-82.90999999999998
1930,Downey,United States,15.987000000000002,34.56,-118.70000000000003
1930,Durham,United States,14.646749999999997,36.17000000000001,-79.55999999999999
1930,East Los Angeles,United States,15.987000000000002,34.56,-118.70000000000003
1930,Edison,United States,10.222166666666665,40.99,-74.55999999999999
1930,El Monte,United States,15.987000000000002,34.56,-118.70000000000003
1930,El Paso,United States,15.547666666666666,31.350000000000005,-105.54999999999997
1930,Elizabeth,United States,10.222166666666665,40.99,-74.55999999999999
1930,Escondido,United States,16.095416666666665,32.949999999999996,-117.77
1930,Eugene,United States,9.372,44.199999999999996,-122.98
1930,Evansville,United States,14.022416666666665,37.779999999999994,-87.46000000000002
1930,Fairfield,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Fayetteville,United States,16.51141666666667,34.56,-79.77999999999999
1930,Flint,United States,9.107000000000001,42.59000000000001,-82.90999999999998
1930,Fontana,United States,16.6185,34.56,-116.76
1930,Fort Collins,United States,7.920833333333333,40.99,-104.38
1930,Fort Lauderdale,United States,22.906750000000002,26.52,-80.60000000000001
1930,Fort Wayne,United States,10.234416666666666,40.99,-85.21000000000001
1930,Fort Worth,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Fremont,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Fresno,United States,15.522416666666665,36.17000000000001,-119.33999999999999
1930,Fullerton,United States,16.095416666666665,32.949999999999996,-117.77
1930,Gainesville,United States,19.738166666666668,29.740000000000006,-83.08000000000001
1930,Garden Grove,United States,16.095416666666665,32.949999999999996,-117.77
1930,Garland,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Gilbert,United States,20.765,32.949999999999996,-112.02
1930,Glendale,United States,18.376,33.754999999999974,-115.35999999999996
1930,Grand Prairie,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Grand Rapids,United States,9.091333333333333,42.59000000000001,-85.09000000000002
1930,Green Bay,United States,7.910583333333332,44.199999999999996,-87.20000000000003
1930,Greensboro,United States,14.646749999999997,36.17000000000001,-79.55999999999999
1930,Hampton,United States,16.068,36.17000000000001,-75.58000000000001
1930,Hartford,United States,10.798749999999998,40.99,-72.43000000000002
1930,Hayward,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Henderson,United States,16.950166666666668,36.17000000000001,-115.35999999999997
1930,Hialeah,United States,22.906750000000002,26.52,-80.60000000000001
1930,Highlands Ranch,United States,8.368833333333333,39.38,-104.04999999999997
1930,Hollywood,United States,22.906750000000002,26.52,-80.60000000000001
1930,Houston,United States,19.853749999999998,29.740000000000006,-96.0
1930,Huntington Beach,United States,16.095416666666665,32.949999999999996,-117.77
1930,Huntsville,United States,15.247333333333335,34.56,-85.62
1930,Independence,United States,12.4275,39.38,-93.64
1930,Indianapolis,United States,11.834166666666668,39.38,-85.31999999999998
1930,Inglewood,United States,15.987000000000002,34.56,-118.70000000000003
1930,Irvine,United States,16.095416666666665,32.949999999999996,-117.77
1930,Irving,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Jackson,United States,17.87425,32.949999999999996,-90.96000000000002
1930,Jacksonville,United States,20.657333333333337,29.740000000000006,-81.23
1930,Jersey City,United States,10.222166666666665,40.99,-74.55999999999999
1930,Joliet,United States,10.49825,40.99,-87.34000000000002
1930,Kansas City,United States,12.4275,39.38,-93.64
1930,Killeen,United States,18.266916666666667,31.350000000000005,-98.01
1930,Knoxville,United States,13.017249999999999,36.17000000000001,-83.53999999999999
1930,Lafayette,United States,19.981083333333334,29.740000000000006,-92.30999999999999
1930,Lakewood,United States,8.368833333333333,39.38,-104.04999999999997
1930,Lancaster,United States,15.987000000000002,34.56,-118.70000000000003
1930,Lansing,United States,9.091333333333333,42.59000000000001,-85.09000000000002
1930,Laredo,United States,21.374916666666667,28.13,-99.09000000000002
1930,Las Vegas,United States,16.950166666666668,36.17000000000001,-115.35999999999997
1930,Lexington Fayette,United States,13.589166666666666,37.779999999999994,-85.41999999999997
1930,Lincoln,United States,11.077250000000005,40.99,-95.86
1930,Little Rock,United States,16.67158333333333,34.56,-91.46000000000002
1930,Long Beach,United States,16.095416666666665,32.949999999999996,-117.77
1930,Los Angeles,United States,15.987000000000002,34.56,-118.70000000000003
1930,Louisville,United States,13.589166666666666,37.779999999999994,-85.41999999999997
1930,Lowell,United States,8.207166666666666,42.59000000000001,-72.0
1930,Lubbock,United States,15.700500000000003,32.949999999999996,-102.45000000000003
1930,Madison,United States,8.747916666666667,42.59000000000001,-89.45000000000003
1930,Manchester,United States,8.207166666666666,42.59000000000001,-72.0
1930,Memphis,United States,16.369,34.56,-89.51
1930,Mesa,United States,20.765,32.949999999999996,-112.02
1930,Mesquite,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Metairie,United States,20.084333333333333,29.740000000000006,-90.46000000000002
1930,Miami,United States,22.906750000000002,26.52,-80.60000000000001
1930,Milwaukee,United States,10.78675,42.59000000000001,-87.27
1930,Minneapolis,United States,6.055916666666666,45.81,-93.46000000000002
1930,Miramar,United States,22.906750000000002,26.52,-80.60000000000001
1930,Mobile,United States,18.320833333333333,31.350000000000005,-88.59000000000002
1930,Modesto,United States,11.872083333333334,37.779999999999994,-120.0
1930,Montgomery,United States,17.13525,32.949999999999996,-87.13
1930,Moreno Valley,United States,16.6185,34.56,-116.76
1930,Naperville,United States,10.49825,40.99,-87.34000000000002
1930,Nashville,United States,14.702416666666666,36.17000000000001,-87.51
1930,New Haven,United States,10.798749999999998,40.99,-72.43000000000002
1930,New Orleans,United States,20.084333333333333,29.740000000000006,-90.46000000000002
1930,New York,United States,10.222166666666665,40.99,-74.55999999999999
1930,Newark,United States,10.222166666666665,40.99,-74.55999999999999
1930,Newport News,United States,14.271666666666668,37.779999999999994,-77.28999999999999
1930,Nogales,United States,17.478166666666667,31.350000000000005,-111.20000000000003
1930,Norfolk,United States,16.068,36.17000000000001,-75.58000000000001
1930,Norman,United States,16.641583333333333,34.56,-97.29999999999997
1930,North Las Vegas,United States,16.950166666666668,36.17000000000001,-115.35999999999997
1930,Norwalk,United States,15.987000000000002,34.56,-118.70000000000003
1930,Nuevo Laredo,United States,21.374916666666667,28.13,-99.09000000000002
1930,Oakland,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Oceanside,United States,16.095416666666665,32.949999999999996,-117.77
1930,Oklahoma City,United States,15.477750000000002,36.17000000000001,-97.46000000000002
1930,Olathe,United States,12.603833333333334,39.38,-95.72000000000001
1930,Omaha,United States,11.077250000000005,40.99,-95.86
1930,Ontario,United States,16.6185,34.56,-116.76
1930,Orange,United States,16.095416666666665,32.949999999999996,-117.77
1930,Orlando,United States,22.076666666666668,28.13,-80.90999999999998
1930,Overland Park,United States,12.4275,39.38,-93.64
1930,Oxnard,United States,15.987000000000002,34.56,-118.70000000000003
1930,Palmdale,United States,15.987000000000002,34.56,-118.70000000000003
1930,Paradise,United States,16.950166666666668,36.17000000000001,-115.35999999999997
1930,Pasadena,United States,17.920375,32.149999999999984,-107.34999999999998
1930,Paterson,United States,10.222166666666665,40.99,-74.55999999999999
1930,Pembroke Pines,United States,22.906750000000002,26.52,-80.60000000000001
1930,Peoria,United States,15.713750000000003,36.97,-100.74499999999996
1930,Philadelphia,United States,12.437916666666666,39.38,-74.90999999999998
1930,Phoenix,United States,20.765,32.949999999999996,-112.02
1930,Pittsburgh,United States,10.148583333333333,40.99,-80.95000000000002
1930,Plano,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Pomona,United States,15.987000000000002,34.56,-118.70000000000003
1930,Port Saint Lucie,United States,22.906750000000002,26.52,-80.60000000000001
1930,Portland,United States,9.3765,45.81,-123.46000000000002
1930,Providence,United States,8.207166666666666,42.59000000000001,-72.0
1930,Provo,United States,8.217083333333335,39.38,-112.37
1930,Pueblo,United States,10.220999999999998,37.779999999999994,-103.73
1930,Raleigh,United States,14.646749999999997,36.17000000000001,-79.55999999999999
1930,Rancho Cucamonga,United States,16.6185,34.56,-116.76
1930,Reno,United States,11.143583333333332,39.38,-120.69000000000004
1930,Rialto,United States,16.6185,34.56,-116.76
1930,Richardson,United States,18.041666666666668,32.949999999999996,-96.70000000000003
1930,Richmond,United States,14.261458333333332,37.77999999999998,-99.65999999999998
1930,Riverside,United States,16.6185,34.56,-116.76
1930,Rochester,United States,8.2405,42.59000000000001,-78.54999999999998
1930,Rockford,United States,8.747916666666667,42.59000000000001,-89.45000000000003
1930,Roseville,United States,11.143583333333332,39.38,-120.69000000000004
1930,Sacramento,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Saint Louis,United States,12.529249999999998,39.38,-89.48
1930,Saint Paul,United States,6.055916666666666,45.81,-93.46000000000002
1930,Saint Petersburg,United States,21.52416666666667,28.13,-82.73
1930,Salem,United States,9.372,44.199999999999996,-122.98
1930,Salinas,United States,14.4425,36.17000000000001,-121.32999999999998
1930,Salt Lake City,United States,9.41216666666667,40.99,-112.90000000000002
1930,San Antonio,United States,19.52891666666667,29.740000000000006,-97.85000000000001
1930,San Bernardino,United States,16.6185,34.56,-116.76
1930,San Diego,United States,16.095416666666665,32.949999999999996,-117.77
1930,San Francisco,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,San Jose,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Santa Ana,United States,16.095416666666665,32.949999999999996,-117.77
1930,Santa Clara,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Santa Clarita,United States,15.987000000000002,34.56,-118.70000000000003
1930,Santa Rosa,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Savannah,United States,19.117916666666662,31.350000000000005,-81.04999999999998
1930,Scottsdale,United States,20.765,32.949999999999996,-112.02
1930,Seattle,United States,7.227750000000001,47.42000000000001,-121.97000000000001
1930,Shreveport,United States,17.705333333333332,32.949999999999996,-92.87
1930,Simi Valley,United States,15.987000000000002,34.56,-118.70000000000003
1930,Sioux Falls,United States,7.517916666666668,44.199999999999996,-96.14999999999999
1930,South Bend,United States,10.234416666666666,40.99,-85.21000000000001
1930,Spokane,United States,7.532166666666668,47.42000000000001,-117.24
1930,Spring Valley,United States,16.950166666666668,36.17000000000001,-115.35999999999997
1930,Springfield,United States,11.374361111111115,39.91666666666664,-85.01333333333334
1930,Stamford,United States,10.222166666666665,40.99,-74.55999999999999
1930,Sterling Heights,United States,9.107000000000001,42.59000000000001,-82.90999999999998
1930,Stockton,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Sunnyvale,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Sunrise Manor,United States,16.950166666666668,36.17000000000001,-115.35999999999997
1930,Syracuse,United States,8.214666666666666,42.59000000000001,-76.36
1930,Tacoma,United States,7.227750000000001,47.42000000000001,-121.97000000000001
1930,Tallahassee,United States,19.645999999999997,29.740000000000006,-84.91999999999999
1930,Tampa,United States,21.52416666666667,28.13,-82.73
1930,Tempe,United States,20.765,32.949999999999996,-112.02
1930,Thornton,United States,8.368833333333333,39.38,-104.04999999999997
1930,Thousand Oaks,United States,15.987000000000002,34.56,-118.70000000000003
1930,Toledo,United States,10.2215,40.99,-83.08000000000001
1930,Toms River,United States,12.437916666666666,39.38,-74.90999999999998
1930,Topeka,United States,12.603833333333334,39.38,-95.72000000000001
1930,Torrance,United States,15.987000000000002,34.56,-118.70000000000003
1930,Tucson,United States,17.478166666666667,31.350000000000005,-111.20000000000003
1930,Tulsa,United States,15.309750000000001,36.17000000000001,-95.47000000000001
1930,Vallejo,United States,14.251249999999999,37.779999999999994,-122.02999999999999
1930,Vancouver,United States,9.3765,45.81,-123.46000000000002
1930,Virginia Beach,United States,16.068,36.17000000000001,-75.58000000000001
1930,Visalia,United States,15.522416666666665,36.17000000000001,-119.33999999999999
1930,Waco,United States,18.266916666666667,31.350000000000005,-98.01
1930,Warren,United States,9.107000000000001,42.59000000000001,-82.90999999999998
1930,Washington,United States,12.64391666666667,39.38,-76.99
1930,Waterbury,United States,10.798749999999998,40.99,-72.43000000000002
1930,West Covina,United States,15.987000000000002,34.56,-118.70000000000003
1930,West Jordan,United States,9.41216666666667,40.99,-112.90000000000002
1930,West Valley City,United States,9.41216666666667,40.99,-112.90000000000002
1930,Westminster,United States,8.368833333333333,39.38,-104.04999999999997
1930,Wichita,United States,13.777333333333333,37.779999999999994,-97.63
1930,Wichita Falls,United States,16.731,34.56,-99.24
1930,Windsor,United States,9.107000000000001,42.59000000000001,-82.90999999999998
1930,Winston Salem,United States,14.646749999999997,36.17000000000001,-79.55999999999999
1930,Worcester,United States,8.207166666666666,42.59000000000001,-72.0
1930,Yonkers,United States,10.222166666666665,40.99,-74.55999999999999
1931,Abilene,United States,17.114416666666667,32.949999999999996,-100.52999999999999
1931,Akron,United States,11.160416666666668,40.99,-80.95000000000002
1931,Albuquerque,United States,10.860083333333334,34.56,-107.02999999999999
1931,Alexandria,United States,13.258750000000001,39.38,-76.99
1931,Allentown,United States,11.02575,40.99,-74.55999999999999
1931,Amarillo,United States,15.29575,34.56,-101.19000000000001
1931,Anaheim,United States,17.083916666666664,32.949999999999996,-117.77
1931,Anchorage,United States,-1.1970833333333328,61.88,-151.13000000000002
1931,Ann Arbor,United States,10.449666666666667,42.59000000000001,-82.90999999999998
1931,Antioch,United States,14.931583333333336,37.779999999999994,-122.02999999999999
1931,Arlington,United States,15.914625,36.165,-86.84500000000001
1931,Arvada,United States,2.7072499999999997,39.38,-106.13
1931,Atlanta,United States,15.154833333333334,34.56,-83.68000000000002
1931,Aurora,United States,10.654208333333333,40.185,-95.69499999999998
1931,Austin,United States,20.171083333333332,29.740000000000006,-97.85000000000001
1931,Bakersfield,United States,16.443416666666668,36.17000000000001,-119.33999999999999
1931,Baltimore,United States,13.258750000000001,39.38,-76.99
1931,Baton Rouge,United States,20.394166666666667,29.740000000000006,-90.46000000000002
1931,Beaumont,United States,20.16991666666667,29.740000000000006,-94.14999999999999
1931,Bellevue,United States,8.003583333333333,47.42000000000001,-121.97000000000001
1931,Berkeley,United States,14.931583333333336,37.779999999999994,-122.02999999999999
1931,Birmingham,United States,17.593833333333333,32.949999999999996,-87.13
1931,Boston,United States,8.740166666666667,42.59000000000001,-72.0
1931,Bridgeport,United States,11.320833333333333,40.99,-72.43000000000002
1931,Brownsville,United States,22.46908333333333,26.52,-96.72000000000001
1931,Buffalo,United States,9.395999999999999,42.59000000000001,-78.54999999999998
1931,Burbank,United States,16.60225,34.56,-118.70000000000003
1931,Cambridge,United States,8.740166666666667,42.59000000000001,-72.0
1931,Cape Coral,United States,22.737083333333334,26.52,-82.39
1931,Carrollton,United States,18.5705,32.949999999999996,-96.70000000000003
1931,Cary,United States,15.330833333333333,36.17000000000001,-79.55999999999999
1931,Cedar Rapids,United States,10.783333333333333,42.59000000000001,-91.64
1931,Chandler,United States,21.136416666666666,32.949999999999996,-112.02
1931,Charleston,United States,19.203416666666662,32.949999999999996,-79.47000000000001
1931,Charlotte,United States,16.79508333333333,34.56,-81.73
1931,Chattanooga,United States,15.914250000000004,34.56,-85.62
1931,Chesapeake,United States,16.40008333333333,36.17000000000001,-75.58000000000001
1931,Chicago,United States,12.390583333333332,42.59000000000001,-87.27
1931,Chula Vista,United States,17.083916666666664,32.949999999999996,-117.77
1931,Cincinnati,United States,12.797166666666664,39.38,-85.31999999999998
1931,Clarksville,United States,15.343916666666667,36.17000000000001,-87.51
1931,Clearwater,United States,21.864000000000004,28.13,-82.73
1931,Cleveland,United States,11.160416666666668,40.99,-80.95000000000002
1931,Colorado Springs,United States,9.346916666666667,39.38,-104.04999999999997
1931,Columbia,United States,16.79508333333333,34.56,-81.73
1931,Columbus,United States,15.101624999999999,36.165,-84.22500000000001
1931,Concord,United States,14.931583333333336,37.779999999999994,-122.02999999999999
1931,Coral Springs,United States,22.809083333333334,26.52,-80.60000000000001
1931,Corona,United States,17.083916666666664,32.949999999999996,-117.77
1931,Corpus Christi,United States,21.556083333333333,28.13,-97.27
1931,Costa Mesa,United States,17.083916666666664,32.949999999999996,-117.77
1931,Dallas,United States,18.5705,32.949999999999996,-96.70000000000003
1931,Dayton,United States,12.787500000000001,39.38,-83.24
1931,Denton,United States,18.5705,32.949999999999996,-96.70000000000003
1931,Denver,United States,9.346916666666667,39.38,-104.04999999999997
1931,Des Moines,United States,12.158583333333333,40.99,-93.73
1931,Detroit,United States,10.449666666666667,42.59000000000001,-82.90999999999998
1931,Downey,United States,16.60225,34.56,-118.70000000000003
1931,Durham,United States,15.330833333333333,36.17000000000001,-79.55999999999999
1931,East Los Angeles,United States,16.60225,34.56,-118.70000000000003
1931,Edison,United States,11.02575,40.99,-74.55999999999999
1931,El Monte,United States,16.60225,34.56,-118.70000000000003
1931,El Paso,United States,15.624166666666666,31.350000000000005,-105.54999999999997
1931,Elizabeth,United States,11.02575,40.99,-74.55999999999999
1931,Escondido,United States,17.083916666666664,32.949999999999996,-117.77
1931,Eugene,United States,10.227000000000002,44.199999999999996,-122.98
1931,Evansville,United States,14.984666666666664,37.779999999999994,-87.46000000000002
1931,Fairfield,United States,14.931583333333336,37.779999999999994,-122.02999999999999
1931,Fayetteville,United States,17.12925,34.56,-79.77999999999999
1931,Flint,United States,10.449666666666667,42.59000000000001,-82.90999999999998
1931,Fontana,United States,17.303833333333333,34.56,-116.76
1931,Fort Collins,United States,9.087750000000002,40.99,-104.38
1931,Fort Lauderdale,United States,22.809083333333334,26.52,-80.60000000000001
1931,Fort Wayne,United States,11.676749999999998,40.99,-85.21000000000001
1931,Fort Worth,United States,18.5705,32.949999999999996,-96.70000000000003
1931,Fremont,United States,14.931583333333336,37.779999999999994,-122.02999999999999
1931,Fresno,United States,16.443416666666668,36.17000000000001,-119.33999999999999
1931,Fullerton,United States,17.083916666666664,32.949999999999996,-117.77
1931,Gainesville,United States,20.481333333333335,29.740000000000006,-83.08000000000001
1931,Garden Grove,United States,17.083916666666664,32.949999999999996,-117.77
1931,Garland,United States,18.5705,32.949999999999996,-96.70000000000003
1931,Gilbert,United States,21.136416666666666,32.949999999999996,-112.02
1931,Glendale,United States,18.869333333333334,33.754999999999974,-115.35999999999996
1931,Grand Prairie,United States,18.5705,32.949999999999996,-96.70000000000003
1931,Grand Rapids,United States,10.586333333333334,42.59000000000001,-85.09000000000002
1931,Green Bay,United States,9.684583333333334,44.199999999999996,-87.20000000000003
1931,Greensboro,United States,15.330833333333333,36.17000000000001,-79.55999999999999
1931,Hampton,United States,16.40008333333333,36.17000000000001,-75.58000000000001
1931,Hartford,United States,11.320833333333333,40.99,-72.43000000000002
1931,Hayward,United States,14.931583333333336,37.779999999999994,-122.02999999999999
1931,Henderson,United States,17.66208333333333,36.17000000000001,-115.35999999999997
1931,Hialeah,United States,22.809083333333334,26.52,-80.60000000000001
1931,Highlands Ranch,United States,9.346916666666667,39.38,-104.04999999999997
1931,Hollywood,United States,22.809083333333334,26.52,-80.60000000000001
1931,Houston,United States,20.442416666666666,29.740000000000006,-96.0
1931,Huntington Beach,United States,17.083916666666664,32.949999999999996,-117.77
